Hyperparameter,Value
Learning Rate (LR),0.001
Weight Decay,0.0001
Batch Size,64
Optimizer Selection,Adam
Early Stopping Patience (Val Loss),5
Deep Learning Epoch Length (Max),15
Deep Learning Epochs Run,N/A (Loaded from checkpoint)
Signal 1D CNN Residual Blocks,3 Blocks (1D Conv + BN + ReLU + MaxPool1D)
Signal Embedding Size (GAP),64
Metadata Input Features,"4 (age, sex, height, weight)"
Metadata MLP Layer Sizes,4 -> 32 -> 16
Metadata Embedding Size,16
Late Fusion Embedding Junction,80 (64 signal + 16 metadata)
Target Superclass Nodes,"5 (NORM, MI, STTC, CD, HYP)"
Loss Function Objective,BCEWithLogitsLoss (Multi-label)
Tabular Classifier,XGBoost (MultiOutputClassifier)
Tabular Estimators,"100 estimators, max_depth=5, lr=0.05"
